gestational_age_(weeks)	race	measure	3rd_percentile	5th_percentile	10th_percentile	50th_percentile	90th_percentile	95th_percentile	97th_percentile
10.0	Non-Hispanic White	Abdominal Circ	30.46	31.09	32.08	35.83	40.03	41.3	42.15
10.14	Non-Hispanic White	Abdominal Circ	31.59	32.24	33.26	37.13	41.44	42.76	43.63
10.29	Non-Hispanic White	Abdominal Circ	32.74	33.41	34.46	38.44	42.89	44.24	45.14
10.43	Non-Hispanic White	Abdominal Circ	33.91	34.6	35.68	39.78	44.35	45.74	46.67
10.57	Non-Hispanic White	Abdominal Circ	35.1	35.81	36.92	41.14	45.85	47.27	48.23
10.71	Non-Hispanic White	Abdominal Circ	36.31	37.04	38.19	42.53	47.36	48.83	49.81
10.86	Non-Hispanic White	Abdominal Circ	37.54	38.29	39.47	43.93	48.9	50.41	51.41
11.0	Non-Hispanic White	Abdominal Circ	38.8	39.56	40.78	45.36	50.46	52.01	53.03
11.14	Non-Hispanic White	Abdominal Circ	40.07	40.86	42.1	46.81	52.04	53.63	54.68
11.29	Non-Hispanic White	Abdominal Circ	41.36	42.17	43.45	48.27	53.64	55.27	56.35
11.43	Non-Hispanic White	Abdominal Circ	42.67	43.5	44.81	49.76	55.26	56.93	58.04
11.57	Non-Hispanic White	Abdominal Circ	43.99	44.84	46.19	51.27	56.9	58.61	59.75
11.71	Non-Hispanic White	Abdominal Circ	45.34	46.21	47.59	52.79	58.56	60.31	61.47
11.86	Non-Hispanic White	Abdominal Circ	46.7	47.59	49.0	54.33	60.24	62.03	63.22
12.0	Non-Hispanic White	Abdominal Circ	48.07	48.99	50.44	55.89	61.93	63.76	64.98
12.14	Non-Hispanic White	Abdominal Circ	49.46	50.4	51.88	57.46	63.64	65.51	66.75
12.29	Non-Hispanic White	Abdominal Circ	50.87	51.83	53.35	59.05	65.36	67.27	68.54
12.43	Non-Hispanic White	Abdominal Circ	52.29	53.28	54.82	60.65	67.1	69.05	70.35
12.57	Non-Hispanic White	Abdominal Circ	53.73	54.73	56.32	62.27	68.85	70.84	72.17
12.71	Non-Hispanic White	Abdominal Circ	55.18	56.2	57.82	63.9	70.62	72.65	74.0
12.86	Non-Hispanic White	Abdominal Circ	56.64	57.69	59.34	65.54	72.4	74.47	75.84
13.0	Non-Hispanic White	Abdominal Circ	58.11	59.18	60.87	67.2	74.18	76.29	77.7
13.14	Non-Hispanic White	Abdominal Circ	59.6	60.69	62.41	68.86	75.98	78.13	79.56
13.29	Non-Hispanic White	Abdominal Circ	61.1	62.21	63.96	70.53	77.79	79.98	81.43
13.43	Non-Hispanic White	Abdominal Circ	62.6	63.73	65.52	72.22	79.6	81.83	83.31
13.57	Non-Hispanic White	Abdominal Circ	64.12	65.27	67.09	73.91	81.43	83.69	85.2
13.71	Non-Hispanic White	Abdominal Circ	65.64	66.82	68.67	75.61	83.26	85.56	87.09
13.86	Non-Hispanic White	Abdominal Circ	67.18	68.37	70.25	77.32	85.1	87.44	88.99
14.0	Non-Hispanic White	Abdominal Circ	68.72	69.93	71.85	79.03	86.94	89.32	90.9
14.14	Non-Hispanic White	Abdominal Circ	70.27	71.5	73.45	80.75	88.78	91.2	92.81
14.29	Non-Hispanic White	Abdominal Circ	71.82	73.08	75.06	82.48	90.64	93.09	94.72
14.43	Non-Hispanic White	Abdominal Circ	73.38	74.66	76.67	84.21	92.49	94.98	96.64
14.57	Non-Hispanic White	Abdominal Circ	74.95	76.25	78.29	85.94	94.35	96.88	98.55
14.71	Non-Hispanic White	Abdominal Circ	76.52	77.84	79.91	87.68	96.21	98.77	100.47
14.86	Non-Hispanic White	Abdominal Circ	78.1	79.44	81.54	89.42	98.07	100.67	102.39
15.0	Non-Hispanic White	Abdominal Circ	79.68	81.04	83.17	91.17	99.93	102.56	104.31
15.14	Non-Hispanic White	Abdominal Circ	81.26	82.64	84.81	92.91	101.79	104.46	106.23
15.29	Non-Hispanic White	Abdominal Circ	82.85	84.25	86.44	94.66	103.65	106.36	108.15
15.43	Non-Hispanic White	Abdominal Circ	84.44	85.86	88.08	96.4	105.52	108.25	110.07
15.57	Non-Hispanic White	Abdominal Circ	86.03	87.47	89.72	98.15	107.38	110.14	111.98
15.71	Non-Hispanic White	Abdominal Circ	87.63	89.08	91.36	99.9	109.23	112.04	113.89
15.86	Non-Hispanic White	Abdominal Circ	89.22	90.69	93.01	101.65	111.09	113.92	115.8
16.0	Non-Hispanic White	Abdominal Circ	90.82	92.31	94.65	103.39	112.95	115.81	117.71
16.14	Non-Hispanic White	Abdominal Circ	92.42	93.93	96.29	105.14	114.8	117.69	119.61
16.29	Non-Hispanic White	Abdominal Circ	94.02	95.54	97.94	106.88	116.65	119.57	121.51
16.43	Non-Hispanic White	Abdominal Circ	95.62	97.16	99.58	108.63	118.49	121.45	123.41
16.57	Non-Hispanic White	Abdominal Circ	97.22	98.78	101.23	110.37	120.33	123.32	125.3
16.71	Non-Hispanic White	Abdominal Circ	98.82	100.39	102.87	112.11	122.17	125.19	127.19
16.86	Non-Hispanic White	Abdominal Circ	100.42	102.01	104.51	113.84	124.01	127.05	129.07
17.0	Non-Hispanic White	Abdominal Circ	102.01	103.63	106.15	115.58	125.84	128.91	130.95
17.14	Non-Hispanic White	Abdominal Circ	103.61	105.24	107.8	117.31	127.67	130.77	132.82
17.29	Non-Hispanic White	Abdominal Circ	105.21	106.86	109.44	119.04	129.5	132.62	134.69
17.43	Non-Hispanic White	Abdominal Circ	106.81	108.47	111.08	120.77	131.32	134.47	136.56
17.57	Non-Hispanic White	Abdominal Circ	108.41	110.08	112.71	122.5	133.14	136.32	138.42
17.71	Non-Hispanic White	Abdominal Circ	110.01	111.7	114.35	124.23	134.95	138.16	140.28
17.86	Non-Hispanic White	Abdominal Circ	111.61	113.31	115.99	125.95	136.76	140.0	142.14
18.0	Non-Hispanic White	Abdominal Circ	113.2	114.92	117.63	127.67	138.57	141.83	143.99
18.14	Non-Hispanic White	Abdominal Circ	114.8	116.54	119.26	129.39	140.38	143.66	145.83
18.29	Non-Hispanic White	Abdominal Circ	116.4	118.15	120.9	131.11	142.18	145.49	147.68
18.43	Non-Hispanic White	Abdominal Circ	118.0	119.76	122.53	132.83	143.99	147.32	149.52
18.57	Non-Hispanic White	Abdominal Circ	119.6	121.38	124.17	134.55	145.79	149.14	151.36
18.71	Non-Hispanic White	Abdominal Circ	121.2	122.99	125.81	136.26	147.59	150.97	153.2
18.86	Non-Hispanic White	Abdominal Circ	122.8	124.61	127.45	137.98	149.39	152.79	155.04
19.0	Non-Hispanic White	Abdominal Circ	124.4	126.23	129.09	139.7	151.19	154.61	156.88
19.14	Non-Hispanic White	Abdominal Circ	126.01	127.85	130.73	141.42	152.99	156.43	158.72
19.29	Non-Hispanic White	Abdominal Circ	127.61	129.47	132.37	143.14	154.78	158.25	160.55
19.43	Non-Hispanic White	Abdominal Circ	129.22	131.09	134.01	144.86	156.58	160.07	162.38
19.57	Non-Hispanic White	Abdominal Circ	130.83	132.71	135.65	146.57	158.37	161.89	164.21
19.71	Non-Hispanic White	Abdominal Circ	132.43	134.32	137.29	148.29	160.17	163.7	166.04
19.86	Non-Hispanic White	Abdominal Circ	134.04	135.94	138.93	150.0	161.96	165.51	167.87
20.0	Non-Hispanic White	Abdominal Circ	135.64	137.56	140.57	151.72	163.74	167.32	169.69
20.14	Non-Hispanic White	Abdominal Circ	137.25	139.18	142.21	153.43	165.53	169.13	171.51
20.29	Non-Hispanic White	Abdominal Circ	138.85	140.8	143.84	155.13	167.31	170.93	173.33
20.43	Non-Hispanic White	Abdominal Circ	140.45	142.41	145.48	156.84	169.09	172.73	175.14
20.57	Non-Hispanic White	Abdominal Circ	142.05	144.02	147.11	158.55	170.87	174.53	176.95
20.71	Non-Hispanic White	Abdominal Circ	143.65	145.64	148.74	160.25	172.64	176.33	178.76
20.86	Non-Hispanic White	Abdominal Circ	145.25	147.25	150.37	161.95	174.41	178.12	180.56
21.0	Non-Hispanic White	Abdominal Circ	146.84	148.85	152.0	163.64	176.18	179.9	182.36
21.14	Non-Hispanic White	Abdominal Circ	148.44	150.46	153.62	165.34	177.94	181.68	184.16
21.29	Non-Hispanic White	Abdominal Circ	150.03	152.06	155.25	167.03	179.7	183.46	185.95
21.43	Non-Hispanic White	Abdominal Circ	151.61	153.66	156.86	168.71	181.45	185.24	187.74
21.57	Non-Hispanic White	Abdominal Circ	153.2	155.26	158.48	170.39	183.2	187.01	189.52
21.71	Non-Hispanic White	Abdominal Circ	154.78	156.85	160.09	172.07	184.95	188.77	191.3
21.86	Non-Hispanic White	Abdominal Circ	156.36	158.44	161.7	173.75	186.69	190.54	193.07
22.0	Non-Hispanic White	Abdominal Circ	157.93	160.03	163.31	175.42	188.43	192.29	194.84
22.14	Non-Hispanic White	Abdominal Circ	159.5	161.61	164.91	177.09	190.17	194.05	196.61
22.29	Non-Hispanic White	Abdominal Circ	161.07	163.19	166.51	178.75	191.9	195.8	198.37
22.43	Non-Hispanic White	Abdominal Circ	162.64	164.77	168.1	180.41	193.62	197.54	200.13
22.57	Non-Hispanic White	Abdominal Circ	164.2	166.34	169.69	182.07	195.35	199.28	201.88
22.71	Non-Hispanic White	Abdominal Circ	165.75	167.91	171.28	183.72	197.06	201.02	203.63
22.86	Non-Hispanic White	Abdominal Circ	167.31	169.47	172.86	185.36	198.77	202.75	205.37
23.0	Non-Hispanic White	Abdominal Circ	168.85	171.03	174.44	187.01	200.48	204.48	207.11
23.14	Non-Hispanic White	Abdominal Circ	170.4	172.59	176.01	188.65	202.19	206.2	208.85
23.29	Non-Hispanic White	Abdominal Circ	171.94	174.14	177.58	190.28	203.89	207.92	210.58
23.43	Non-Hispanic White	Abdominal Circ	173.47	175.68	179.15	191.91	205.58	209.63	212.31
23.57	Non-Hispanic White	Abdominal Circ	175.0	177.23	180.71	193.53	207.27	211.34	214.03
23.71	Non-Hispanic White	Abdominal Circ	176.53	178.77	182.26	195.16	208.96	213.05	215.75
23.86	Non-Hispanic White	Abdominal Circ	178.05	180.3	183.82	196.77	210.64	214.75	217.46
24.0	Non-Hispanic White	Abdominal Circ	179.57	181.83	185.36	198.38	212.32	216.45	219.17
24.14	Non-Hispanic White	Abdominal Circ	181.08	183.35	186.91	199.99	214.0	218.14	220.88
24.29	Non-Hispanic White	Abdominal Circ	182.59	184.87	188.44	201.6	215.67	219.83	222.58
24.43	Non-Hispanic White	Abdominal Circ	184.1	186.39	189.98	203.2	217.33	221.52	224.28
24.57	Non-Hispanic White	Abdominal Circ	185.6	187.9	191.51	204.79	219.0	223.2	225.97
24.71	Non-Hispanic White	Abdominal Circ	187.09	189.41	193.04	206.39	220.66	224.88	227.67
24.86	Non-Hispanic White	Abdominal Circ	188.58	190.91	194.56	207.97	222.32	226.56	229.36
25.0	Non-Hispanic White	Abdominal Circ	190.07	192.41	196.07	209.56	223.97	228.23	231.04
25.14	Non-Hispanic White	Abdominal Circ	191.55	193.91	197.59	211.14	225.62	229.9	232.73
25.29	Non-Hispanic White	Abdominal Circ	193.03	195.4	199.1	212.72	227.27	231.57	234.41
25.43	Non-Hispanic White	Abdominal Circ	194.51	196.88	200.6	214.29	228.91	233.24	236.09
25.57	Non-Hispanic White	Abdominal Circ	195.98	198.37	202.11	215.86	230.56	234.9	237.77
25.71	Non-Hispanic White	Abdominal Circ	197.44	199.85	203.6	217.43	232.2	236.56	239.44
25.86	Non-Hispanic White	Abdominal Circ	198.91	201.32	205.1	219.0	233.84	238.22	241.12
26.0	Non-Hispanic White	Abdominal Circ	200.36	202.79	206.59	220.56	235.47	239.88	242.79
26.14	Non-Hispanic White	Abdominal Circ	201.82	204.26	208.08	222.12	237.11	241.54	244.46
26.29	Non-Hispanic White	Abdominal Circ	203.27	205.73	209.56	223.68	238.75	243.2	246.13
26.43	Non-Hispanic White	Abdominal Circ	204.72	207.19	211.05	225.24	240.38	244.85	247.81
26.57	Non-Hispanic White	Abdominal Circ	206.17	208.65	212.53	226.79	242.01	246.51	249.48
26.71	Non-Hispanic White	Abdominal Circ	207.61	210.1	214.0	228.34	243.64	248.17	251.15
26.86	Non-Hispanic White	Abdominal Circ	209.05	211.56	215.48	229.9	245.28	249.82	252.82
27.0	Non-Hispanic White	Abdominal Circ	210.49	213.01	216.95	231.45	246.91	251.48	254.49
27.14	Non-Hispanic White	Abdominal Circ	211.92	214.46	218.42	233.0	248.54	253.14	256.16
27.29	Non-Hispanic White	Abdominal Circ	213.36	215.91	219.89	234.55	250.18	254.79	257.84
27.43	Non-Hispanic White	Abdominal Circ	214.79	217.35	221.36	236.1	251.81	256.46	259.52
27.57	Non-Hispanic White	Abdominal Circ	216.22	218.8	222.83	237.65	253.45	258.12	261.2
27.71	Non-Hispanic White	Abdominal Circ	217.65	220.24	224.29	239.2	255.09	259.78	262.88
27.86	Non-Hispanic White	Abdominal Circ	219.08	221.68	225.76	240.75	256.73	261.45	264.56
28.0	Non-Hispanic White	Abdominal Circ	220.5	223.12	227.22	242.3	258.37	263.12	266.25
28.14	Non-Hispanic White	Abdominal Circ	221.93	224.57	228.69	243.85	260.02	264.79	267.94
28.29	Non-Hispanic White	Abdominal Circ	223.35	226.01	230.16	245.41	261.67	266.47	269.64
28.43	Non-Hispanic White	Abdominal Circ	224.78	227.45	231.62	246.97	263.32	268.16	271.34
28.57	Non-Hispanic White	Abdominal Circ	226.21	228.89	233.09	248.53	264.98	269.84	273.05
28.71	Non-Hispanic White	Abdominal Circ	227.63	230.34	234.56	250.09	266.65	271.54	274.76
28.86	Non-Hispanic White	Abdominal Circ	229.06	231.78	236.03	251.66	268.31	273.23	276.48
29.0	Non-Hispanic White	Abdominal Circ	230.49	233.23	237.5	253.23	269.99	274.94	278.2
29.14	Non-Hispanic White	Abdominal Circ	231.92	234.67	238.98	254.8	271.67	276.65	279.93
29.29	Non-Hispanic White	Abdominal Circ	233.35	236.12	240.45	256.37	273.35	278.36	281.67
29.43	Non-Hispanic White	Abdominal Circ	234.78	237.57	241.93	257.95	275.03	280.08	283.41
29.57	Non-Hispanic White	Abdominal Circ	236.21	239.02	243.4	259.53	276.73	281.8	285.15
29.71	Non-Hispanic White	Abdominal Circ	237.64	240.47	244.88	261.11	278.42	283.53	286.9
29.86	Non-Hispanic White	Abdominal Circ	239.07	241.91	246.36	262.7	280.12	285.27	288.66
30.0	Non-Hispanic White	Abdominal Circ	240.5	243.36	247.83	264.28	281.82	287.0	290.42
30.14	Non-Hispanic White	Abdominal Circ	241.93	244.81	249.31	265.87	283.53	288.75	292.18
30.29	Non-Hispanic White	Abdominal Circ	243.35	246.25	250.79	267.46	285.24	290.49	293.95
30.43	Non-Hispanic White	Abdominal Circ	244.78	247.7	252.26	269.05	286.95	292.24	295.73
30.57	Non-Hispanic White	Abdominal Circ	246.2	249.14	253.74	270.64	288.67	293.99	297.5
30.71	Non-Hispanic White	Abdominal Circ	247.62	250.58	255.21	272.23	290.38	295.75	299.28
30.86	Non-Hispanic White	Abdominal Circ	249.04	252.02	256.68	273.82	292.1	297.5	301.06
31.0	Non-Hispanic White	Abdominal Circ	250.46	253.46	258.15	275.41	293.82	299.26	302.85
31.14	Non-Hispanic White	Abdominal Circ	251.87	254.89	259.62	277.0	295.55	301.03	304.64
31.29	Non-Hispanic White	Abdominal Circ	253.28	256.32	261.08	278.59	297.27	302.79	306.43
31.43	Non-Hispanic White	Abdominal Circ	254.69	257.75	262.55	280.18	299.0	304.56	308.22
31.57	Non-Hispanic White	Abdominal Circ	256.09	259.18	264.01	281.77	300.72	306.32	310.02
31.71	Non-Hispanic White	Abdominal Circ	257.49	260.6	265.46	283.35	302.45	308.09	311.81
31.86	Non-Hispanic White	Abdominal Circ	258.89	262.02	266.92	284.94	304.18	309.86	313.61
32.0	Non-Hispanic White	Abdominal Circ	260.28	263.44	268.37	286.52	305.9	311.63	315.41
32.14	Non-Hispanic White	Abdominal Circ	261.67	264.85	269.82	288.1	307.63	313.4	317.21
32.29	Non-Hispanic White	Abdominal Circ	263.05	266.25	271.26	289.68	309.36	315.17	319.01
32.43	Non-Hispanic White	Abdominal Circ	264.43	267.65	272.7	291.26	311.08	316.94	320.81
32.57	Non-Hispanic White	Abdominal Circ	265.8	269.05	274.13	292.83	312.8	318.71	322.61
32.71	Non-Hispanic White	Abdominal Circ	267.17	270.44	275.56	294.4	314.53	320.48	324.4
32.86	Non-Hispanic White	Abdominal Circ	268.53	271.82	276.98	295.96	316.25	322.25	326.2
33.0	Non-Hispanic White	Abdominal Circ	269.88	273.2	278.4	297.52	317.96	324.01	328.0
33.14	Non-Hispanic White	Abdominal Circ	271.23	274.58	279.81	299.08	319.68	325.77	329.79
33.29	Non-Hispanic White	Abdominal Circ	272.57	275.94	281.22	300.63	321.39	327.53	331.58
33.43	Non-Hispanic White	Abdominal Circ	273.91	277.3	282.61	302.18	323.1	329.29	333.37
33.57	Non-Hispanic White	Abdominal Circ	275.23	278.65	284.01	303.72	324.81	331.05	335.16
33.71	Non-Hispanic White	Abdominal Circ	276.55	280.0	285.39	305.26	326.51	332.8	336.95
33.86	Non-Hispanic White	Abdominal Circ	277.86	281.34	286.77	306.79	328.21	334.54	338.73
34.0	Non-Hispanic White	Abdominal Circ	279.17	282.67	288.14	308.31	329.9	336.29	340.5
34.14	Non-Hispanic White	Abdominal Circ	280.46	283.99	289.5	309.83	331.59	338.03	342.28
34.29	Non-Hispanic White	Abdominal Circ	281.75	285.3	290.86	311.34	333.27	339.76	344.05
34.43	Non-Hispanic White	Abdominal Circ	283.02	286.6	292.2	312.85	334.95	341.49	345.81
34.57	Non-Hispanic White	Abdominal Circ	284.29	287.9	293.54	314.34	336.62	343.21	347.57
34.71	Non-Hispanic White	Abdominal Circ	285.55	289.18	294.87	315.83	338.28	344.93	349.32
34.86	Non-Hispanic White	Abdominal Circ	286.8	290.46	296.19	317.31	339.94	346.64	351.07
35.0	Non-Hispanic White	Abdominal Circ	288.03	291.72	297.49	318.78	341.59	348.35	352.81
35.14	Non-Hispanic White	Abdominal Circ	289.26	292.98	298.79	320.24	343.23	350.04	354.54
35.29	Non-Hispanic White	Abdominal Circ	290.47	294.22	300.08	321.69	344.87	351.73	356.27
35.43	Non-Hispanic White	Abdominal Circ	291.68	295.45	301.35	323.13	346.49	353.41	357.98
35.57	Non-Hispanic White	Abdominal Circ	292.87	296.67	302.61	324.57	348.11	355.09	359.7
35.71	Non-Hispanic White	Abdominal Circ	294.04	297.87	303.87	325.99	349.72	356.75	361.4
35.86	Non-Hispanic White	Abdominal Circ	295.21	299.07	305.11	327.4	351.31	358.41	363.09
36.0	Non-Hispanic White	Abdominal Circ	296.36	300.25	306.33	328.79	352.9	360.05	364.77
36.14	Non-Hispanic White	Abdominal Circ	297.5	301.42	307.54	330.18	354.48	361.69	366.45
36.29	Non-Hispanic White	Abdominal Circ	298.62	302.57	308.74	331.55	356.04	363.31	368.11
36.43	Non-Hispanic White	Abdominal Circ	299.73	303.71	309.93	332.91	357.6	364.92	369.76
36.57	Non-Hispanic White	Abdominal Circ	300.83	304.83	311.1	334.26	359.14	366.52	371.4
36.71	Non-Hispanic White	Abdominal Circ	301.91	305.94	312.26	335.59	360.67	368.11	373.03
36.86	Non-Hispanic White	Abdominal Circ	302.98	307.04	313.4	336.91	362.18	369.68	374.64
37.0	Non-Hispanic White	Abdominal Circ	304.03	308.12	314.52	338.21	363.68	371.25	376.24
37.14	Non-Hispanic White	Abdominal Circ	305.06	309.18	315.63	339.5	365.17	372.79	377.83
37.29	Non-Hispanic White	Abdominal Circ	306.08	310.23	316.73	340.77	366.64	374.33	379.4
37.43	Non-Hispanic White	Abdominal Circ	307.08	311.26	317.81	342.03	368.1	375.84	380.96
37.57	Non-Hispanic White	Abdominal Circ	308.06	312.27	318.87	343.27	369.54	377.35	382.5
37.71	Non-Hispanic White	Abdominal Circ	309.02	313.26	319.91	344.49	370.97	378.83	384.03
37.86	Non-Hispanic White	Abdominal Circ	309.97	314.24	320.93	345.7	372.37	380.3	385.54
38.0	Non-Hispanic White	Abdominal Circ	310.9	315.2	321.94	346.89	373.77	381.76	387.04
38.14	Non-Hispanic White	Abdominal Circ	311.81	316.14	322.93	348.06	375.14	383.19	388.52
38.29	Non-Hispanic White	Abdominal Circ	312.7	317.06	323.9	349.21	376.49	384.61	389.98
38.43	Non-Hispanic White	Abdominal Circ	313.57	317.96	324.85	350.34	377.83	386.01	391.42
38.57	Non-Hispanic White	Abdominal Circ	314.42	318.84	325.77	351.45	379.15	387.39	392.84
38.71	Non-Hispanic White	Abdominal Circ	315.25	319.7	326.68	352.54	380.45	388.76	394.25
38.86	Non-Hispanic White	Abdominal Circ	316.06	320.54	327.57	353.61	381.73	390.1	395.63
39.0	Non-Hispanic White	Abdominal Circ	316.84	321.36	328.43	354.66	382.99	391.42	397.0
39.14	Non-Hispanic White	Abdominal Circ	317.6	322.15	329.27	355.69	384.23	392.73	398.35
39.29	Non-Hispanic White	Abdominal Circ	318.34	322.92	330.09	356.7	385.45	394.01	399.68
39.43	Non-Hispanic White	Abdominal Circ	319.06	323.66	330.89	357.68	386.65	395.28	400.99
39.57	Non-Hispanic White	Abdominal Circ	319.75	324.38	331.66	358.64	387.83	396.52	402.28
39.71	Non-Hispanic White	Abdominal Circ	320.41	325.08	332.4	359.58	388.99	397.75	403.55
39.86	Non-Hispanic White	Abdominal Circ	321.05	325.75	333.12	360.5	390.12	398.96	404.8
40.0	Non-Hispanic White	Abdominal Circ	321.65	326.39	333.82	361.39	391.24	400.14	406.03
40.14	Non-Hispanic White	Abdominal Circ	322.23	327.0	334.48	362.25	392.34	401.31	407.25
40.29	Non-Hispanic White	Abdominal Circ	322.78	327.58	335.12	363.1	393.41	402.46	408.44
40.43	Non-Hispanic White	Abdominal Circ	323.3	328.14	335.72	363.91	394.47	403.59	409.62
40.57	Non-Hispanic White	Abdominal Circ	323.79	328.66	336.3	364.7	395.5	404.7	410.78
40.71	Non-Hispanic White	Abdominal Circ	324.24	329.14	336.84	365.46	396.52	405.79	411.93
40.86	Non-Hispanic White	Abdominal Circ	324.66	329.6	337.35	366.2	397.51	406.87	413.06
41.0	Non-Hispanic White	Abdominal Circ	325.04	330.02	337.83	366.91	398.49	407.93	414.18
41.14	Non-Hispanic White	Abdominal Circ	325.38	330.4	338.27	367.59	399.45	408.97	415.28
41.29	Non-Hispanic White	Abdominal Circ	325.68	330.74	338.68	368.25	400.39	410.0	416.37
41.43	Non-Hispanic White	Abdominal Circ	325.94	331.04	339.05	368.87	401.32	411.02	417.45
41.57	Non-Hispanic White	Abdominal Circ	326.16	331.3	339.38	369.47	402.22	412.03	418.52
41.71	Non-Hispanic White	Abdominal Circ	326.34	331.52	339.67	370.04	403.12	413.02	419.59
41.86	Non-Hispanic White	Abdominal Circ	326.46	331.7	339.92	370.57	404.0	414.01	420.64
42.0	Non-Hispanic White	Abdominal Circ	326.54	331.82	340.12	371.08	404.86	414.99	421.7
10.0	Non-Hispanic White	Biparietal Diameter	10.4	10.6	10.92	12.14	13.5	13.91	14.18
10.14	Non-Hispanic White	Biparietal Diameter	10.8	11.01	11.35	12.61	14.0	14.43	14.71
10.29	Non-Hispanic White	Biparietal Diameter	11.22	11.44	11.78	13.08	14.52	14.96	15.25
10.43	Non-Hispanic White	Biparietal Diameter	11.64	11.86	12.22	13.56	15.04	15.49	15.79
10.57	Non-Hispanic White	Biparietal Diameter	12.07	12.3	12.66	14.04	15.57	16.04	16.35
10.71	Non-Hispanic White	Biparietal Diameter	12.5	12.74	13.11	14.54	16.11	16.59	16.9
10.86	Non-Hispanic White	Biparietal Diameter	12.94	13.18	13.57	15.03	16.65	17.14	17.47
11.0	Non-Hispanic White	Biparietal Diameter	13.38	13.63	14.03	15.54	17.2	17.7	18.04
11.14	Non-Hispanic White	Biparietal Diameter	13.83	14.09	14.5	16.04	17.75	18.27	18.61
11.29	Non-Hispanic White	Biparietal Diameter	14.28	14.55	14.97	16.56	18.31	18.84	19.19
11.43	Non-Hispanic White	Biparietal Diameter	14.74	15.02	15.45	17.07	18.87	19.41	19.77
11.57	Non-Hispanic White	Biparietal Diameter	15.2	15.49	15.93	17.6	19.44	19.99	20.36
11.71	Non-Hispanic White	Biparietal Diameter	15.67	15.96	16.41	18.12	20.0	20.57	20.95
11.86	Non-Hispanic White	Biparietal Diameter	16.14	16.43	16.9	18.65	20.58	21.16	21.54
12.0	Non-Hispanic White	Biparietal Diameter	16.61	16.91	17.39	19.18	21.15	21.74	22.14
12.14	Non-Hispanic White	Biparietal Diameter	17.08	17.39	17.88	19.71	21.72	22.33	22.74
12.29	Non-Hispanic White	Biparietal Diameter	17.56	17.88	18.37	20.24	22.3	22.92	23.33
12.43	Non-Hispanic White	Biparietal Diameter	18.04	18.36	18.87	20.78	22.88	23.51	23.93
12.57	Non-Hispanic White	Biparietal Diameter	18.52	18.85	19.37	21.31	23.46	24.1	24.53
12.71	Non-Hispanic White	Biparietal Diameter	19.0	19.34	19.87	21.85	24.04	24.7	25.13
12.86	Non-Hispanic White	Biparietal Diameter	19.48	19.83	20.37	22.39	24.62	25.29	25.73
13.0	Non-Hispanic White	Biparietal Diameter	19.96	20.31	20.86	22.93	25.19	25.88	26.33
13.14	Non-Hispanic White	Biparietal Diameter	20.45	20.8	21.36	23.46	25.77	26.46	26.93
13.29	Non-Hispanic White	Biparietal Diameter	20.93	21.29	21.86	24.0	26.35	27.05	27.52
13.43	Non-Hispanic White	Biparietal Diameter	21.41	21.78	22.36	24.54	26.92	27.64	28.11
13.57	Non-Hispanic White	Biparietal Diameter	21.9	22.27	22.86	25.07	27.49	28.22	28.7
13.71	Non-Hispanic White	Biparietal Diameter	22.38	22.76	23.36	25.6	28.06	28.8	29.29
13.86	Non-Hispanic White	Biparietal Diameter	22.86	23.24	23.85	26.13	28.63	29.38	29.88
14.0	Non-Hispanic White	Biparietal Diameter	23.34	23.73	24.35	26.66	29.19	29.95	30.46
14.14	Non-Hispanic White	Biparietal Diameter	23.81	24.21	24.84	27.19	29.75	30.53	31.04
14.29	Non-Hispanic White	Biparietal Diameter	24.29	24.69	25.33	27.71	30.31	31.09	31.61
14.43	Non-Hispanic White	Biparietal Diameter	24.76	25.17	25.82	28.23	30.87	31.66	32.18
14.57	Non-Hispanic White	Biparietal Diameter	25.23	25.65	26.3	28.75	31.42	32.22	32.75
14.71	Non-Hispanic White	Biparietal Diameter	25.7	26.12	26.79	29.26	31.96	32.77	33.31
14.86	Non-Hispanic White	Biparietal Diameter	26.17	26.6	27.27	29.77	32.5	33.32	33.87
15.0	Non-Hispanic White	Biparietal Diameter	26.63	27.07	27.74	30.28	33.04	33.87	34.42
15.14	Non-Hispanic White	Biparietal Diameter	27.09	27.53	28.22	30.78	33.58	34.41	34.97
15.29	Non-Hispanic White	Biparietal Diameter	27.55	28.0	28.69	31.28	34.1	34.95	35.51
15.43	Non-Hispanic White	Biparietal Diameter	28.01	28.46	29.16	31.78	34.63	35.48	36.05
15.57	Non-Hispanic White	Biparietal Diameter	28.46	28.91	29.62	32.27	35.15	36.01	36.58
15.71	Non-Hispanic White	Biparietal Diameter	28.91	29.37	30.09	32.76	35.66	36.54	37.11
15.86	Non-Hispanic White	Biparietal Diameter	29.36	29.82	30.54	33.24	36.18	37.05	37.64
16.0	Non-Hispanic White	Biparietal Diameter	29.8	30.27	31.0	33.72	36.68	37.57	38.15
16.14	Non-Hispanic White	Biparietal Diameter	30.25	30.71	31.45	34.2	37.18	38.08	38.67
16.29	Non-Hispanic White	Biparietal Diameter	30.68	31.16	31.9	34.67	37.68	38.58	39.18
16.43	Non-Hispanic White	Biparietal Diameter	31.12	31.6	32.35	35.14	38.17	39.08	39.68
16.57	Non-Hispanic White	Biparietal Diameter	31.55	32.03	32.79	35.61	38.66	39.58	40.18
